game_id,names,min_players,max_players,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,weight
37296,Yahtzee Free for All,2,6,20,20,2008,6.29817,5.77813,596,8,"Dice Rolling, Press Your Luck",1037,Dice,Richard Borg,1.2143
8138,Kogge,2,4,90,90,2003,6.7634300000000005,5.77811,299,10,"Auction/Bidding, Pick-up and Deliver",411,"Economic, Nautical, Renaissance",Andreas Steding,3.48
17997,Anno Domini: Sex & Crime,2,8,30,30,1998,6.7919,5.77802,300,10,Card Drafting,578,"Bluffing, Card Game, Humor, Party Game, Trivia",Urs Hostettler,1.4
126750,Sky Tango,2,4,20,20,2012,6.39048,5.77778,517,8,"Hand Management, Set Collection",1072,"Animals, Card Game","Johann Rüttinger, Jacques Zeimet",1.3939
161943,Chosŏn,2,4,15,15,2014,6.710319999999999,5.77769,343,14,"Set Collection, Simultaneous Action Selection, Take That",906,Card Game,Gary Kim,2.125
88016,Briefcase,2,4,45,60,2012,6.35279,5.77757,567,12,"Deck / Pool Building, Hand Management",1093,Economic,"Nikolas Sakaloglou, Sotirios Tsantilas",2.5
165477,Orcs Orcs Orcs,2,4,45,45,2014,6.490819999999999,5.77756,452,13,Deck / Pool Building,1320,Fantasy,Frank Thyben,2.0
13071,Age of Gods,3,6,90,90,2004,6.30975,5.7775099999999995,676,12,"Dice Rolling, Variable Player Powers",1288,"Bluffing, Fantasy, Mythology",Croc,2.3
139147,Romolo o Remo?,1,4,150,150,2013,6.839289999999999,5.77744,337,12,"Area Control / Area Influence, Area Movement, Trading, Worker Placement",717,"Ancient, City Building, Civilization, Territory Building",Michele Quondam,3.8235
146149,Speed Cups,2,4,15,15,2013,6.20287,5.77729,777,6,Pattern Building,1306,"Action / Dexterity, Children's Game, Real-time",Haim Shafir,1.0571
197072,High Treason: The Trial of Louis Riel,2,2,30,45,2016,7.5228600000000005,5.77727,175,13,"Hand Management, Simulation",405,"Card Game, Deduction, Educational",Alex Berry,2.7143
126912,Lady Alice,3,5,30,30,2012,6.36043,5.77718,535,8,"Betting/Wagering, Memory",897,"Bluffing, Deduction",Ludovic Gaillard,1.9429
165877,Spellcaster,2,4,20,30,2014,6.61158,5.77716,387,14,Hand Management,739,Card Game,"Aaron Weissblum, Norman Woods",1.619
93971,Nile DeLuxor,2,6,30,30,2011,6.621569999999999,5.77691,357,8,"Card Drafting, Commodity Speculation, Hand Management",632,"Ancient, Card Game, Farming, Print & Play","Daniel Callister, James Mathe",1.5333
150016,Shephy,1,1,15,15,2013,6.844710000000001,5.77679,293,12,"Hand Management, Set Collection",469,Card Game,Pawn,1.5
4475,Unexpected Treasures,3,6,30,30,2002,6.26429,5.77672,644,13,"Set Collection, Simultaneous Action Selection",1107,none,Friedemann Friese,1.34
88406,Astra Titanus,1,1,45,45,2010,7.23072,5.77669,223,13,"Campaign / Battle Card Driven, Dice Rolling, Hex-and-Counter",506,"Science Fiction, Wargame",Chris Taylor (I),2.0303
28739,Garibaldi: The Escape,2,6,60,60,2007,6.62299,5.77663,385,10,"Hand Management, Partnerships",535,"Bluffing, Deduction, Transportation",Gabriele Mari,1.9375
145654,Invaders,2,2,60,60,2013,6.9772300000000005,5.776619999999999,267,12,"Hand Management, Variable Player Powers",527,"Card Game, Fighting, Horror, Science Fiction",Mark Chaplin,2.7
172062,Fairytale Gloom,2,5,30,60,2015,6.644489999999999,5.77652,399,13,"Hand Management, Storytelling, Take That",1532,"Card Game, Fantasy, Humor",Keith Baker,1.625
83629,The Hobbit,2,5,30,45,2010,6.03449,5.7765,1419,8,"Auction/Bidding, Dice Rolling, Hand Management, Point to Point Movement, Role Playing, Simultaneous Action Selection",2939,"Adventure, Card Game, Fantasy, Novel-based, Travel",Reiner Knizia,1.7094
102181,In a Grove,3,4,20,20,2011,6.3683,5.77648,529,9,Memory,963,"Bluffing, Deduction, Murder/Mystery",Jun Sasaki,1.5135
96260,Dominant Species: The Card Game,2,6,60,60,2012,6.02872,5.77629,1221,13,Hand Management,1837,"Card Game, Prehistoric",Chad Jensen,1.9048
137154,Auf Teufel komm raus,2,6,40,40,2013,6.74925,5.77629,319,10,"Betting/Wagering, Press Your Luck",376,none,"Tanja Engel, Sara Engel",1.7778
36325,Down in Flames: Aces High,2,6,45,45,2008,7.0656300000000005,5.77616,256,0,"Campaign / Battle Card Driven, Hand Management",563,"Aviation / Flight, Card Game, Wargame, World War II",Dan Verssen,2.1304
3416,Fallschirmjaeger,2,2,360,360,2001,7.77739,5.775919999999999,162,12,"Dice Rolling, Hex-and-Counter",461,"Wargame, World War II","Dean Essig, Alan Wambold",3.0
181161,Brick Party,2,9,15,30,2015,6.771380000000001,5.7758,325,5,"Co-operative Play, Hand Management",792,"Action / Dexterity, Party Game, Real-time",Luca Bellini,1.3333
161578,[redacted],2,6,45,45,2014,6.3686300000000005,5.77573,577,12,"Area Movement, Hand Management, Partnerships, Rock-Paper-Scissors",1508,"Bluffing, Spies/Secret Agents","Katalin Nimmerfroh, Dávid Turczi, Mihály Vincze",2.9231
118023,Keltis: Das Würfelspiel,2,4,30,30,2012,6.44391,5.77556,446,8,"Dice Rolling, Set Collection",659,Dice,Reiner Knizia,1.2647
165004,ONUS! Rome Vs Carthage,1,4,60,60,2014,7.74958,5.775180000000001,207,12,"Campaign / Battle Card Driven, Card Drafting, Dice Rolling, Simultaneous Action Selection",558,"Ancient, Miniatures, Wargame","Luis Álvaro Hernández, Alvar Sanz",2.6957
130552,Warhammer Fantasy Battles (8th Edition),2,2,180,180,2010,7.27071,5.77503,239,12,"Dice Rolling, Modular Board, Variable Player Powers",456,"Fantasy, Fighting, Miniatures, Wargame","Bryan Ansell, Richard Halliwell, Jervis Johnson, Rick Priestley",4.2308
164874,Airborne Commander,1,1,30,30,2015,7.0019800000000005,5.77485,252,10,Deck / Pool Building,576,"Wargame, World War II",Aaron Lauster,2.0357
229218,A Game of Thrones: Catan – Brotherhood of the Watch,3,4,60,75,2017,7.238569999999999,5.774719999999999,245,14,"Dice Rolling, Hand Management, Modular Board, Route/Network Building, Trading",736,"Civilization, Negotiation, Novel-based","Klaus Teuber, Benjamin Teuber",2.0
54643,Skyline 3000,2,4,60,60,2009,6.35784,5.77471,527,10,"Area Control / Area Influence, Auction/Bidding",1408,"City Building, Science Fiction","Alan R. Moon, Aaron Weissblum",2.381
203270,Gorechosen,2,4,25,75,2016,7.266960000000001,5.7746699999999995,260,0,"Deck / Pool Building, Dice Rolling, Grid Movement, Take That",575,"Dice, Fantasy, Fighting, Miniatures",James M. Hewitt,2.0
534,N.Y. Chase,3,6,45,45,1999,6.43053,5.7743,515,10,"Hand Management, Partnerships, Point to Point Movement, Secret Unit Deployment",1036,"Deduction, Transportation",Projekt Team III,2.0
22161,WestFront II,2,2,240,240,2006,7.84088,5.77425,159,12,"Dice Rolling, Secret Unit Deployment",548,"Wargame, World War II",Craig Besinque,3.4242
34010,Journey to the Center of the Earth,2,4,60,60,2008,6.2838199999999995,5.77424,644,10,"Hand Management, Point to Point Movement, Set Collection",1233,"Adventure, Novel-based, Travel",Rüdiger Dorn,2.0167
137900,Jupiter Rescue,2,7,30,60,2013,6.70838,5.77412,334,15,"Co-operative Play, Modular Board, Variable Player Powers",595,Science Fiction,Mark Major,1.875
132817,Xanadú,2,6,40,70,2012,6.65132,5.774,370,13,"Card Drafting, Hand Management, Worker Placement",723,"Ancient, Card Game, Economic, Industry / Manufacturing",Javier Velásquez,2.2222
3321,Die Pyramiden des Jaguar,2,2,45,45,2002,6.13022,5.77385,818,10,"Card Drafting, Hand Management",1297,Card Game,Günter Burkhardt,1.7245
63027,Leviathans,2,8,90,90,2012,7.114960000000001,5.77342,254,13,"Dice Rolling, Simulation",684,"Aviation / Flight, Miniatures, Science Fiction, Wargame","Randall N. Bills, John Haward",2.9429
34166,Finito!,2,4,20,20,2008,6.21552,5.7734,669,8,"Dice Rolling, Tile Placement",544,Abstract Strategy,Hartmut Kommerell,1.1111
16320,Bonnie and Clyde,2,4,45,45,2009,6.30449,5.7731900000000005,574,8,"Hand Management, Set Collection",1047,Card Game,Mike Fitzgerald,1.6383
122913,Samurai Battles,2,2,60,60,2012,7.46355,5.77308,203,10,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Modular Board, Simultaneous Action Selection",806,"Medieval, Miniatures, Wargame","Richard Borg, Konstantin Krivenko",2.9583
322,Tonga Bonga,3,4,45,45,1998,6.4510000000000005,5.7729099999999995,460,10,"Betting/Wagering, Dice Rolling, Set Collection",589,"Economic, Nautical, Racing",Stefan Dorra,1.6818
10653,Pirates of the Spanish Main,2,10,30,30,2004,6.021809999999999,5.772819999999999,2628,10,"Dice Rolling, Pick-up and Deliver, Point to Point Movement",4416,"Collectible Components, Miniatures, Nautical, Pirates, Wargame","James Ernest, Michael Mulvihill, Mike Selinker",1.7808
103184,The Gnomes of Zavandor,2,4,60,90,2011,6.57435,5.77281,395,10,"Card Drafting, Commodity Speculation, Memory, Modular Board, Set Collection",1035,"Economic, Fantasy",Torsten Landsvogt,2.5556
72800,RoadZters,1,4,20,20,2010,6.83294,5.772419999999999,293,5,Modular Board,491,"Action / Dexterity, Children's Game, Racing",Tonton Z,1.2632
264,Enemy in Sight,2,8,120,120,1988,6.26406,5.7723,625,10,"Hand Management, Take That",1140,"American Revolutionary War, Card Game, Napoleonic, Nautical, Wargame",Neal Schlaffer,1.7042
149097,Spurs: A Tale in the Old West,3,5,90,90,2014,6.9589300000000005,5.77222,261,13,"Deck / Pool Building, Roll / Spin and Move, Variable Player Powers",674,"Action / Dexterity, Adventure, American West, Real-time","Sean Brown, Ole Steiness",2.5625
21930,Crazy Kick,2,8,10,10,2006,6.36549,5.77219,531,8,"Card Drafting, Partnerships",689,"Card Game, Real-time, Sports",Reiner Stockhausen,1.0469
160409,Too Many Cinderellas,2,4,10,10,2014,6.44886,5.772069999999999,463,10,Voting,713,"Card Game, Deduction","Nobutake Dogen, Nao Shimamura",1.2857
117838,Oz Fluxx,2,6,10,40,2012,6.28793,5.77195,697,8,"Hand Management, Set Collection",1930,Card Game,Andrew Looney,1.5526
